,crime,year,long,lat,city,neighborhood
427,LARCENY/THEFT,2016,-78.8850648189492,42.9041053481379,Buffalo,.
428,UUV,2016,-78.8009364366813,42.904351041641895,Buffalo,.
432,LARCENY/THEFT,2016,-78.89058031103521,42.9023894745049,Buffalo,.
433,LARCENY/THEFT,2016,-78.8705865,42.94610529999999,Buffalo,.
436,LARCENY/THEFT,2016,-78.8580478828937,42.8802192607659,Buffalo,.
437,BURGLARY,2016,-78.84779660580179,42.9347093487154,Buffalo,.
438,ASSAULT,2016,-78.8153262146376,42.889725333658795,Buffalo,.
439,LARCENY/THEFT,2016,-78.90119254065159,42.9628901311975,Buffalo,.
444,ASSAULT,2016,-78.8650426745302,42.9005344473419,Buffalo,.
445,BURGLARY,2016,-78.83346946057901,42.854702486624,Buffalo,.
446,BURGLARY,2016,-78.8582140788993,42.917645391536496,Buffalo,.
448,UUV,2016,-78.813677331566,42.937965968216794,Buffalo,.
451,LARCENY/THEFT,2016,-78.8352029227098,42.8958021920741,Buffalo,.
452,LARCENY/THEFT,2016,-78.8472581982238,42.9223083148862,Buffalo,.
453,LARCENY/THEFT,2016,-78.89445538271849,42.938186507034395,Buffalo,.
459,LARCENY/THEFT,2016,-78.88467504304171,42.9236976266455,Buffalo,.
460,LARCENY/THEFT,2016,-78.86787736780171,42.900143293866,Buffalo,.
462,LARCENY/THEFT,2016,-78.87740475916179,42.91800928457521,Buffalo,.
464,ASSAULT,2016,-78.81372158045879,42.9097589037315,Buffalo,.
466,LARCENY/THEFT,2016,-78.8782186099022,42.94775067498379,Buffalo,.
467,ASSAULT,2016,-78.8256058355994,42.951441130862996,Buffalo,.
471,LARCENY/THEFT,2016,-78.8682988,42.9457975,Buffalo,.
473,LARCENY/THEFT,2016,-78.8774733171003,42.9010245218796,Buffalo,.
474,LARCENY/THEFT,2016,-78.8902510252576,42.9187712873251,Buffalo,.
476,BURGLARY,2016,-78.8110184463085,42.9460931146185,Buffalo,.
479,BURGLARY,2016,-78.84024029581241,42.9315711120241,Buffalo,.
483,BURGLARY,2016,-78.89880704276129,42.91276638889379,Buffalo,.
485,LARCENY/THEFT,2016,-78.8257252156366,42.9533066997678,Buffalo,.
487,LARCENY/THEFT,2016,-78.8302306187335,42.940346061447,Buffalo,.
490,MURDER,2016,-78.8879733,42.8894472,Buffalo,.
491,BURGLARY,2016,-78.8268671598277,42.892362934260895,Buffalo,.
492,BURGLARY,2016,-78.82388336536309,42.9311676330032,Buffalo,.
493,LARCENY/THEFT,2016,-78.8594634745374,42.896459657760296,Buffalo,.
494,ROBBERY,2016,-78.850739,42.912773,Buffalo,.
495,LARCENY/THEFT,2016,-78.8240091655075,42.84832946719821,Buffalo,.
496,LARCENY/THEFT,2016,-78.8689356285484,42.9515058561014,Buffalo,.
499,ASSAULT,2016,-78.8088806087866,42.9436553121234,Buffalo,.
501,ASSAULT,2016,-78.8583458967385,42.947278810229,Buffalo,.
502,LARCENY/THEFT,2016,-78.8003875073844,42.8861875773827,Buffalo,.
503,BURGLARY,2016,-78.8783744097169,42.878659544727505,Buffalo,.
504,LARCENY/THEFT,2016,-78.8246136811654,42.9269405415681,Buffalo,.
505,BURGLARY,2016,-78.8980636717601,42.9133995257491,Buffalo,.
506,BURGLARY,2016,-78.83393155328208,42.9136127508985,Buffalo,.
507,LARCENY/THEFT,2016,-78.8721016843181,42.8936297182371,Buffalo,.
510,LARCENY/THEFT,2016,-78.81408670159809,42.9175782095476,Buffalo,.
511,LARCENY/THEFT,2016,-78.8156735147713,42.9325290839884,Buffalo,.
515,BURGLARY,2016,-78.89520648743441,42.9242181938403,Buffalo,.
522,ASSAULT,2016,-78.806986322474,42.9155892741321,Buffalo,.
523,ASSAULT,2016,-78.85300839136859,42.9138712286245,Buffalo,.
524,BURGLARY,2016,-78.8915858614966,42.931910824739596,Buffalo,.
525,LARCENY/THEFT,2016,-78.80373394537109,42.9247875500677,Buffalo,.
526,LARCENY/THEFT,2016,-78.8093187317842,42.910261577148106,Buffalo,.
528,ASSAULT,2016,-78.80428427216121,42.8697990918974,Buffalo,.
531,UUV,2016,-78.8915858614966,42.931910824739596,Buffalo,.
533,LARCENY/THEFT,2016,-78.85400969509509,42.912359734994,Buffalo,.
538,BURGLARY,2016,-78.8774338707543,42.9162805708142,Buffalo,.
539,LARCENY/THEFT,2016,-78.888979565212,42.948545605309896,Buffalo,.
540,LARCENY/THEFT,2016,-78.8635314672456,42.8717547863715,Buffalo,.
541,LARCENY/THEFT,2016,-78.80652399221371,42.9219559588834,Buffalo,.
542,BURGLARY,2016,-78.8037155839049,42.9301106886059,Buffalo,.
545,ASSAULT,2016,-78.8709050969691,42.8931113923613,Buffalo,.
547,LARCENY/THEFT,2016,-78.851415446606,42.9511366494646,Buffalo,.
548,LARCENY/THEFT,2016,-78.81323397893341,42.838775371163,Buffalo,.
549,LARCENY/THEFT,2016,-78.8309897943609,42.9527192214087,Buffalo,.
553,BURGLARY,2016,-78.8336719,42.948827,Buffalo,.
554,ASSAULT,2016,-78.85571886137059,42.8851089466584,Buffalo,.
560,ASSAULT,2016,-78.85161754938349,42.8772162301149,Buffalo,.
562,ASSAULT,2016,-78.8152584089522,42.921417261586704,Buffalo,.
565,LARCENY/THEFT,2016,-78.8033464653277,42.9103280879674,Buffalo,.
566,LARCENY/THEFT,2016,-78.8020937394765,42.851611243181296,Buffalo,.
570,LARCENY/THEFT,2016,-78.8235882298856,42.903263071965796,Buffalo,.
571,BURGLARY,2016,-78.8592098080209,42.9148991242076,Buffalo,.
573,LARCENY/THEFT,2016,-78.888979565212,42.948545605309896,Buffalo,.
574,LARCENY/THEFT,2016,-78.814690155384,42.93917122509061,Buffalo,.
575,LARCENY/THEFT,2016,-78.81228922028359,42.90600266593579,Buffalo,.
577,ASSAULT,2016,-78.8485584513195,42.9207961814645,Buffalo,.
578,ASSAULT,2016,-78.8921995866243,42.9426376688025,Buffalo,.
579,LARCENY/THEFT,2016,-78.8962374617315,42.9582392381098,Buffalo,.
581,BURGLARY,2016,-78.8501329210895,42.9136310174245,Buffalo,.
583,LARCENY/THEFT,2016,-78.87660164887279,42.8903530582745,Buffalo,.
585,BURGLARY,2016,-78.84512138801858,42.9202553187635,Buffalo,.
586,BURGLARY,2016,-78.877440777892,42.925582270927,Buffalo,.
587,ROBBERY,2016,-78.8790036802192,42.9400932846561,Buffalo,.
588,ASSAULT,2016,-78.8957805755383,42.956539298032204,Buffalo,.
589,LARCENY/THEFT,2016,-78.8137779395195,42.9048472501836,Buffalo,.
591,BURGLARY,2016,-78.89077900418279,42.91983997994871,Buffalo,.
592,UUV,2016,-78.88977573988859,42.8981934956984,Buffalo,.
594,LARCENY/THEFT,2016,-78.8650707518332,42.8985039069958,Buffalo,.
595,BURGLARY,2016,-78.8062679734711,42.8716336561035,Buffalo,.
596,ASSAULT,2016,-78.8642503326136,42.87397557807361,Buffalo,.
599,LARCENY/THEFT,2016,-78.8403587071604,42.9331074104757,Buffalo,.
600,MANSLAUGHTER,2016,-78.8256579370963,42.945678920525296,Buffalo,.
602,LARCENY/THEFT,2016,-78.80833136486551,42.8851021252845,Buffalo,.
603,LARCENY/THEFT,2016,-78.8859154498022,42.9406514344673,Buffalo,.
614,BURGLARY,2016,-78.8685535740253,42.9091964070891,Buffalo,.
615,ASSAULT,2016,-78.8024257069898,42.913842013808896,Buffalo,.
617,UUV,2016,-78.9015201838178,42.9539717047431,Buffalo,.
619,LARCENY/THEFT,2016,-78.8476353849088,42.93193841827279,Buffalo,.
621,LARCENY/THEFT,2016,-78.8711668,42.944894399999995,Buffalo,.
622,ASSAULT,2016,-78.8392963324955,42.8929669139546,Buffalo,.
623,LARCENY/THEFT,2016,-78.8921209156869,42.9418421619096,Buffalo,.
624,ASSAULT,2016,-78.8504880897142,42.9007888465114,Buffalo,.
625,LARCENY/THEFT,2016,-78.8712332029317,42.94757638662721,Buffalo,.
629,ASSAULT,2016,-78.8648283403425,42.951845292610905,Buffalo,.
630,LARCENY/THEFT,2016,-78.8034212611553,42.9313459945575,Buffalo,.
631,ROBBERY,2016,-78.8002172726687,42.9227912418652,Buffalo,.
632,ASSAULT,2016,-78.8903585280497,42.9178655217684,Buffalo,.
633,LARCENY/THEFT,2016,-78.895570352143,42.9149429217878,Buffalo,.
636,LARCENY/THEFT,2016,-78.8066925763606,42.86523955103971,Buffalo,.
637,BURGLARY,2016,-78.79995325222522,42.879383554794934,Buffalo,.
638,SEXUAL ABUSE,2016,-78.84370962748609,42.8864265152741,Buffalo,.
639,BURGLARY,2016,-78.81295789498667,42.93530586640235,Buffalo,.
643,BURGLARY,2016,-78.8547418632931,42.9515952663447,Buffalo,.
644,LARCENY/THEFT,2016,-78.8388968311857,42.8956293729663,Buffalo,.
647,LARCENY/THEFT,2016,-78.8928540420635,42.9241697010857,Buffalo,.
649,ASSAULT,2016,-78.8093926477004,42.9304837600738,Buffalo,.
650,LARCENY/THEFT,2016,-78.88981139444999,42.927991862164795,Buffalo,.
651,BURGLARY,2016,-78.886071449774,42.9496234370226,Buffalo,.
652,BURGLARY,2016,-78.8025572024689,42.9404024023472,Buffalo,.
654,LARCENY/THEFT,2016,-78.8267692844918,42.952838028840596,Buffalo,.
658,ROBBERY,2016,-78.8928102335051,42.9154168747611,Buffalo,.
660,BURGLARY,2016,-78.8572750630102,42.8826357347231,Buffalo,.
661,BURGLARY,2016,-78.8157762658703,42.939992183362,Buffalo,.
662,BURGLARY,2016,-78.8407715715261,42.8797929496007,Buffalo,.
665,LARCENY/THEFT,2016,-78.90419555947611,42.951247821530266,Buffalo,.
666,LARCENY/THEFT,2016,-78.8987820546688,42.9590828479371,Buffalo,.
668,BURGLARY,2016,-78.8133943062026,42.942192083952996,Buffalo,.
671,ASSAULT,2016,-78.891812193607,42.9473307101727,Buffalo,.
672,ASSAULT,2016,-78.876204240147,42.9246525260811,Buffalo,.
673,ROBBERY,2016,-78.8137779395195,42.9048472501836,Buffalo,.
674,BURGLARY,2016,-78.8461666855989,42.8938842678642,Buffalo,.
675,LARCENY/THEFT,2016,-78.8283100810331,42.8703538628278,Buffalo,.
677,LARCENY/THEFT,2016,-78.8710664836888,42.911769361104795,Buffalo,.
678,ASSAULT,2016,-78.82154152868671,42.9145446803304,Buffalo,.
679,LARCENY/THEFT,2016,-78.8695114273563,42.954851920222396,Buffalo,.
680,LARCENY/THEFT,2016,-78.89067068602913,42.920581115608,Buffalo,.
683,ROBBERY,2016,-78.8022511969096,42.9172721893446,Buffalo,.
684,ASSAULT,2016,-78.800635,42.926587,Buffalo,.
686,ASSAULT,2016,-78.81404739706801,42.937059748308,Buffalo,.
688,LARCENY/THEFT,2016,-78.8283100810331,42.8703538628278,Buffalo,.
689,LARCENY/THEFT,2016,-78.80280868773457,42.90604867226125,Buffalo,.
690,ASSAULT,2016,-78.8777628854949,42.899130500633,Buffalo,.
691,LARCENY/THEFT,2016,-78.87366037059292,42.95539024320729,Buffalo,.
697,LARCENY/THEFT,2016,-78.8269843438883,42.85575915329029,Buffalo,.
698,BURGLARY,2016,-78.8357906263515,42.893496035983,Buffalo,.
701,LARCENY/THEFT,2016,-78.850728220373,42.9218063658483,Buffalo,.
702,LARCENY/THEFT,2016,-78.8775824208364,42.9239630249819,Buffalo,.
703,LARCENY/THEFT,2016,-78.8912460628309,42.946152375901,Buffalo,.
707,ASSAULT,2016,-78.80046648033634,42.919333492336,Buffalo,.
708,LARCENY/THEFT,2016,-78.79987818758859,42.943233678035796,Buffalo,.
709,LARCENY/THEFT,2016,-78.87386875185912,42.896424007267974,Buffalo,.
710,ROBBERY,2016,-78.8137065876397,42.94581335050921,Buffalo,.
711,UUV,2016,-78.8153011737521,42.9427644464395,Buffalo,.
714,BURGLARY,2016,-78.865997955894,42.954394194963896,Buffalo,.
715,LARCENY/THEFT,2016,-78.8680661919136,42.941163679058796,Buffalo,.
716,ASSAULT,2016,-78.8788696724173,42.8964386458426,Buffalo,.
717,LARCENY/THEFT,2016,-78.8242196122235,42.9503739524774,Buffalo,.
720,LARCENY/THEFT,2016,-78.8926405,42.895607899999995,Buffalo,.
725,LARCENY/THEFT,2016,-78.888683,42.898131899999996,Buffalo,.
726,UUV,2016,-78.8356753698913,42.92013933634521,Buffalo,.
727,LARCENY/THEFT,2016,-78.81372433970391,42.9104997446454,Buffalo,.
728,LARCENY/THEFT,2016,-78.89264049217309,42.8964022693876,Buffalo,.
729,ASSAULT,2016,-78.8040156742782,42.9304942517774,Buffalo,.
730,LARCENY/THEFT,2016,-78.8650426745302,42.9005344473419,Buffalo,.
732,BURGLARY,2016,-78.8234240897136,42.9282875375984,Buffalo,.
733,LARCENY/THEFT,2016,-78.8009557814073,42.8780097080592,Buffalo,.
