crime,year,long,lat,city,neighborhood
LARCENY-NON VEHICLE,2012,-84.48742,33.68841,Atlanta,Greenbriar
LARCENY-FROM VEHICLE,2012,-84.47077,33.7755,Atlanta,Center Hill
LARCENY-FROM VEHICLE,2012,-84.36140999999998,33.83761,Atlanta,Peachtree Park
BURGLARY-RESIDENCE,2012,-84.35849,33.709790000000005,Atlanta,Custer/McDonough/Guice
AGG ASSAULT,2012,-84.51363,33.76867,Atlanta,Old Gordon
AUTO THEFT,2012,-84.37167,33.74031,Atlanta,Grant Park
AUTO THEFT,2012,-84.33038,33.71898,Atlanta,East Atlanta
LARCENY-FROM VEHICLE,2012,-84.443,33.77228,Atlanta,Grove Park
BURGLARY-RESIDENCE,2012,-84.42491,33.756409999999995,Atlanta,Washington Park
AUTO THEFT,2012,-84.37201999999998,33.75565,Atlanta,Old Fourth Ward
BURGLARY-RESIDENCE,2012,-84.39466999999998,33.766329999999996,Atlanta,Downtown
ROBBERY-PEDESTRIAN,2012,-84.40262,33.73805,Atlanta,Mechanicsville
BURGLARY-RESIDENCE,2012,-84.42687,33.71965,Atlanta,Oakland City
LARCENY-FROM VEHICLE,2012,-84.38131,33.74119,Atlanta,Grant Park
AUTO THEFT,2012,-84.35918000000002,33.69323,Atlanta,Norwood Manor
LARCENY-NON VEHICLE,2012,-84.39033,33.78095,Atlanta,Midtown
AGG ASSAULT,2012,-84.47156,33.78999,Atlanta,Carey Park
BURGLARY-RESIDENCE,2012,-84.40671,33.79742,Atlanta,Loring Heights
BURGLARY-RESIDENCE,2012,-84.38186999999998,33.66644,Atlanta,Glenrose Heights
BURGLARY-RESIDENCE,2012,-84.44184,33.73505,Atlanta,Westview
LARCENY-FROM VEHICLE,2012,-84.35334,33.772259999999996,Atlanta,Poncey-Highland
AUTO THEFT,2012,-84.38600000000002,33.74556,Atlanta,Capitol Gateway
LARCENY-FROM VEHICLE,2012,-84.33978,33.74348,Atlanta,East Atlanta
AGG ASSAULT,2012,-84.45254,33.86627,Atlanta,Paces
LARCENY-FROM VEHICLE,2012,-84.36712,33.77028,Atlanta,Old Fourth Ward
LARCENY-FROM VEHICLE,2012,-84.40818,33.700829999999996,Atlanta,Sylvan Hills
AGG ASSAULT,2012,-84.51637,33.6924,Atlanta,Kings Forest
LARCENY-FROM VEHICLE,2012,-84.38297,33.77707,Atlanta,Midtown
AGG ASSAULT,2012,-84.41978,33.751290000000004,Atlanta,Ashview Heights
